Code,Description
3553,HINGE MISSING
3554,HINGE WRONG
3555,HINGE LOOSE UPPER
3556,HINGE LOOSE LOWER
3557,HINGE DEFECTIVE UPPER
3558,HINGE DEFECTIVE LOWER
3560,HINGE DEF UPPER RIGHT
3561,HINGE DEF UPPER LEFT
3562,HINGE DEF LOWER RIGHT
3563,HINGE DEF LOWER LEFT
3575,HINGE SCREW LOOSE
3576,HINGE SCREW MISSING
3577,HINGE SCREW MISSING UPR
3578,HINGE SCREW MISSING LOW
3585,Hinge Brace Damaged
3586,Hinge Brace Defective
3590,Door Chains Defective
3602,INSULATION LOOSE
3603,INSULATION MISSING
3608,INSULATION WRONG
3609,INSULATION DAMAGED
3611,INSUL OTHER ASM WRONG
3612,INSUL ASMD WRONG LOCK
3613,INSUL ASMD WRONG-DOOR
3614,INSULATION ASM WRONG
3615,INSULATION DEFECTIVE
3620,INSUL UNDER MAINBACK
3625,HOT SPOT INSULATION
3650,INSULATION SHIELD ASMWRG
3651,INSULATION SHIELD LOOSE
3652,INSULATION SHIELD MISS
3653,INSULATION SHIELD WRONG
3654,INSULATION SHIELD DMGD
3655,INSULATION SHIELD DEFECT
3660,SHLD COMP SPACER MISSING
3711,JUNCTION BLOCK CROSSWIRE
3760,JAM SWITCH NO CONTACT
3802,LITERATURE DEFECTIVE
3803,LITERATURE MISSING
3804,LITERATURE WRONG
3807,LITERATURE DAMAGED
3808,LITERATURE ASMD WRONG
3825,MINI MANUAL MISSING
3826,MINI MANUAL ALIGNMENT
3827,MINI MANUAL WRONG PART
3905,MAINBACK SCREW MISSING
3907,MAINBACK WRONG
3915,MAINBACK DAMAGED
3916,MAINBACK ASSEMBLED WRONG
3917,MAINBACK MISS
3918,Mainback Defective
4001,MAINTOP ALIGNMENT
4005,Maintop Damaged Hanger
4009,MAINTOP LOOSE
4011,MAINTOP SCREW LOOSE
4015,MAINTOP WRONG
4023,MAINTOP/COIL DEF
4033,MAINTOP MISSING
4034,MAINTOP ASSEMBLED WRONG
4035,MAINTOP/COIL DAMAGED
4036,MAINTOP HARNESS UNPLUGGD
4037,MAINTOP/COIL CHIPPED
4038,MT HARN ASSM WRNG
4040,MAINTOP/RADIANT DMGD
4042,MAINTOP/RADIANT DEF
4043,MAINTOP/RADIANT ASM WRNG
4044,MAINTOP RADIANT UNPLUG
4045,MAINTOP RADIANT LOOSE
4046,MAINTOP RADIANT MISSING
4047,MAINTOP/RADIANT CHIPPED
4051,MAINTOP BLOCK DAMAGED
4052,MAINTOP BLOCK LOOSE
4053,MAINTOP CLIP DAMAGED
4054,MAINTOP ELEM CLIP LOOSE
4055,MAINTOP HARNESS OFF
4056,MAINTOP SCREW MISSING
4057,MAINTOP SEAL DAMAGED
4058,MAINTOP SUPPORT DAMAGED
4059,MAINTOP HARNESS DAMAGED
4060,MAINTOP BLOCK DEFECTIVE
4061,MAINTOP CLIP DEFECTIVE
4062,MTOP SIDE EXT SCREW LOOS
4063,MAINTOP CLIP MISSING
4064,Maintop Frame Alignment
4065,INF SW SHAFT CLIP MISS
